product,year,region,name,unit,technology_destination,electrolyser_capacity_factor
Ammonia,2020,China,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.48
Ammonium nitrate,2020,China,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.48
Urea,2020,China,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.48
Ammonia,2020,Rest of Asia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.45
Ammonium nitrate,2020,Rest of Asia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.45
Urea,2020,Rest of Asia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.45
Ammonia,2020,North America,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.42
Ammonium nitrate,2020,North America,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.42
Urea,2020,North America,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.42
Ammonia,2020,Russia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.46
Ammonium nitrate,2020,Russia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.46
Urea,2020,Russia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.46
Ammonia,2020,Europe,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.46
Ammonium nitrate,2020,Europe,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.46
Urea,2020,Europe,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.46
Ammonia,2020,India,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.43000000000000005
Ammonium nitrate,2020,India,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.43000000000000005
Urea,2020,India,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.43000000000000005
Ammonia,2020,Middle East,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.38
Ammonium nitrate,2020,Middle East,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.38
Urea,2020,Middle East,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.38
Ammonia,2020,Africa,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.49
Ammonium nitrate,2020,Africa,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.49
Urea,2020,Africa,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.49
Ammonia,2020,Latin America,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.39
Ammonium nitrate,2020,Latin America,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.39
Urea,2020,Latin America,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.39
Ammonia,2020,Oceania,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.44
Ammonium nitrate,2020,Oceania,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.44
Urea,2020,Oceania,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.44
Ammonia,2020,Brazil,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.5
Ammonium nitrate,2020,Brazil,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.5
Urea,2020,Brazil,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.5
Ammonia,2020,Saudi Arabia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.56
Ammonium nitrate,2020,Saudi Arabia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.56
Urea,2020,Saudi Arabia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.56
Ammonia,2020,Namibia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.54
Ammonium nitrate,2020,Namibia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.54
Urea,2020,Namibia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.54
Ammonia,2020,Australia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.46
Ammonium nitrate,2020,Australia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.46
Urea,2020,Australia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.46
Ammonia,2020,China,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonium nitrate,2020,China,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Urea,2020,China,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonia,2020,Rest of Asia,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonium nitrate,2020,Rest of Asia,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Urea,2020,Rest of Asia,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonia,2020,North America,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonium nitrate,2020,North America,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Urea,2020,North America,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonia,2020,Russia,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonium nitrate,2020,Russia,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Urea,2020,Russia,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonia,2020,Europe,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonium nitrate,2020,Europe,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Urea,2020,Europe,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonia,2020,India,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonium nitrate,2020,India,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Urea,2020,India,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonia,2020,Middle East,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonium nitrate,2020,Middle East,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Urea,2020,Middle East,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonia,2020,Africa,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonium nitrate,2020,Africa,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Urea,2020,Africa,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonia,2020,Latin America,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonium nitrate,2020,Latin America,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Urea,2020,Latin America,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonia,2020,Oceania,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonium nitrate,2020,Oceania,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Urea,2020,Oceania,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonia,2020,Brazil,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonium nitrate,2020,Brazil,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Urea,2020,Brazil,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonia,2020,Saudi Arabia,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonium nitrate,2020,Saudi Arabia,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Urea,2020,Saudi Arabia,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonia,2020,Namibia,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonium nitrate,2020,Namibia,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Urea,2020,Namibia,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonia,2020,Australia,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonium nitrate,2020,Australia,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Urea,2020,Australia,Electrolyser capacity factor,%,Electrolyser + SMR + ammonia synthesis,0.95
Ammonia,2020,China,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonium nitrate,2020,China,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Urea,2020,China,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonia,2020,Rest of Asia,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonium nitrate,2020,Rest of Asia,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Urea,2020,Rest of Asia,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonia,2020,North America,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonium nitrate,2020,North America,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Urea,2020,North America,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonia,2020,Russia,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonium nitrate,2020,Russia,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Urea,2020,Russia,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonia,2020,Europe,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonium nitrate,2020,Europe,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Urea,2020,Europe,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonia,2020,India,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonium nitrate,2020,India,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Urea,2020,India,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonia,2020,Middle East,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonium nitrate,2020,Middle East,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Urea,2020,Middle East,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonia,2020,Africa,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonium nitrate,2020,Africa,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Urea,2020,Africa,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonia,2020,Latin America,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonium nitrate,2020,Latin America,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Urea,2020,Latin America,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonia,2020,Oceania,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonium nitrate,2020,Oceania,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Urea,2020,Oceania,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonia,2020,Brazil,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonium nitrate,2020,Brazil,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Urea,2020,Brazil,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonia,2020,Saudi Arabia,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonium nitrate,2020,Saudi Arabia,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Urea,2020,Saudi Arabia,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonia,2020,Namibia,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonium nitrate,2020,Namibia,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Urea,2020,Namibia,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonia,2020,Australia,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonium nitrate,2020,Australia,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Urea,2020,Australia,Electrolyser capacity factor,%,Electrolyser + Coal Gasification + ammonia synthesis,0.95
Ammonia,2020,China,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,China,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Urea,2020,China,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonia,2020,Rest of Asia,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,Rest of Asia,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Urea,2020,Rest of Asia,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonia,2020,North America,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,North America,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Urea,2020,North America,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonia,2020,Russia,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,Russia,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Urea,2020,Russia,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonia,2020,Europe,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,Europe,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Urea,2020,Europe,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonia,2020,India,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,India,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Urea,2020,India,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonia,2020,Middle East,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,Middle East,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Urea,2020,Middle East,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonia,2020,Africa,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,Africa,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Urea,2020,Africa,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonia,2020,Latin America,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,Latin America,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Urea,2020,Latin America,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonia,2020,Oceania,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,Oceania,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Urea,2020,Oceania,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonia,2020,Brazil,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,Brazil,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Urea,2020,Brazil,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonia,2020,Saudi Arabia,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,Saudi Arabia,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Urea,2020,Saudi Arabia,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonia,2020,Namibia,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,Namibia,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Urea,2020,Namibia,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonia,2020,Australia,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,Australia,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Urea,2020,Australia,Electrolyser capacity factor,%,Electrolyser - grid PPA + ammonia synthesis,0.95
Ammonia,2020,China,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,China,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.95
Urea,2020,China,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.95
Ammonia,2020,Rest of Asia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,Rest of Asia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.95
Urea,2020,Rest of Asia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.95
Ammonia,2020,North America,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.95
Ammonium nitrate,2020,North America,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.95
Urea,2020,North America,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.95
Ammonia,2020,Russia,Electrolyser capacity factor,%,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.95
